Electricity Pricing [£/kWh],6h Prediction Electricity Pricing [£/kWh],12h Prediction Electricity Pricing [£/kWh],24h Prediction Electricity Pricing [£/kWh]
0.3055,0.3474,0.35,0.3221
0.2935,0.35,0.35,0.3087
0.2805,0.35,0.35,0.3131
0.272,0.3404,0.35,0.3338
0.3304,0.35,0.35,0.35
0.3242,0.35,0.35,0.35
0.3474,0.35,0.3271,0.3414
0.35,0.35,0.3073,0.35
0.35,0.35,0.3094,0.35
0.3404,0.35,0.2843,0.342
0.35,0.35,0.3049,0.3372
0.35,0.35,0.3087,0.3358
0.35,0.3271,0.3221,0.3466
0.35,0.3073,0.3087,0.3474
0.35,0.3094,0.3131,0.3474
0.35,0.2843,0.3338,0.35
0.35,0.3049,0.35,0.35
0.35,0.3087,0.35,0.35
0.3271,0.3221,0.3414,0.3485
0.3073,0.3087,0.35,0.35
0.3094,0.3131,0.35,0.3289
0.2843,0.3338,0.342,0.328
0.3049,0.35,0.3372,0.3153
0.3087,0.35,0.3358,0.3005
0.3221,0.3414,0.3466,0.2862
0.3087,0.35,0.3474,0.2865
0.3131,0.35,0.3474,0.2881
0.3338,0.342,0.35,0.288
0.35,0.3372,0.35,0.3337
0.35,0.3358,0.35,0.35
0.3414,0.3466,0.3485,0.35
0.35,0.3474,0.35,0.35
0.35,0.3474,0.3289,0.35
0.342,0.35,0.328,0.35
0.3372,0.35,0.3153,0.35
0.3358,0.35,0.3005,0.35
0.3466,0.3485,0.2862,0.35
0.3474,0.35,0.2865,0.35
0.3474,0.3289,0.2881,0.35
0.35,0.328,0.288,0.35
0.35,0.3153,0.3337,0.35
0.35,0.3005,0.35,0.35
0.3485,0.2862,0.35,0.35
0.35,0.2865,0.35,0.35
0.3289,0.2881,0.35,0.35
0.328,0.288,0.35,0.3327
0.3153,0.3337,0.35,0.3049
0.3005,0.35,0.35,0.2946
0.2862,0.35,0.35,0.291
0.2865,0.35,0.35,0.2756
0.2881,0.35,0.35,0.2755
0.288,0.35,0.35,0.2862
0.3337,0.35,0.35,0.3087
0.35,0.35,0.35,0.3308
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.3472
0.35,0.35,0.3327,0.3095
0.35,0.35,0.3049,0.2955
0.35,0.35,0.2946,0.2979
0.35,0.35,0.291,0.2911
0.35,0.35,0.2756,0.2954
0.35,0.35,0.2755,0.3218
0.35,0.3327,0.2862,0.35
0.35,0.3049,0.3087,0.35
0.35,0.2946,0.3308,0.35
0.35,0.291,0.35,0.3368
0.35,0.2756,0.35,0.3285
0.35,0.2755,0.3472,0.3274
0.3327,0.2862,0.3095,0.2827
0.3049,0.3087,0.2955,0.2933
0.2946,0.3308,0.2979,0.3263
0.291,0.35,0.2911,0.2974
0.2756,0.35,0.2954,0.2811
0.2755,0.3472,0.3218,0.24
0.2862,0.3095,0.35,0.2437
0.3087,0.2955,0.35,0.3075
0.3308,0.2979,0.35,0.3263
0.35,0.2911,0.3368,0.3437
0.35,0.2954,0.3285,0.3404
0.3472,0.3218,0.3274,0.3227
0.3095,0.35,0.2827,0.2999
0.2955,0.35,0.2933,0.3171
0.2979,0.35,0.3263,0.3223
0.2911,0.3368,0.2974,0.318
0.2954,0.3285,0.2811,0.3194
0.3218,0.3274,0.24,0.3214
0.35,0.2827,0.2437,0.35
0.35,0.2933,0.3075,0.35
0.35,0.3263,0.3263,0.35
0.3368,0.2974,0.3437,0.3457
0.3285,0.2811,0.3404,0.3228
0.3274,0.24,0.3227,0.3119
0.2827,0.2437,0.2999,0.3043
0.2933,0.3075,0.3171,0.3332
0.3263,0.3263,0.3223,0.3459
0.2974,0.3437,0.318,0.3178
0.2811,0.3404,0.3194,0.2664
0.24,0.3227,0.3214,0.2437
0.2437,0.2999,0.35,0.2689
0.3075,0.3171,0.35,0.2907
0.3263,0.3223,0.35,0.3481
0.3437,0.318,0.3457,0.32
0.3404,0.3194,0.3228,0.3131
0.3227,0.3214,0.3119,0.3404
0.2999,0.35,0.3043,0.3388
0.3171,0.35,0.3332,0.3481
0.3223,0.35,0.3459,0.3363
0.318,0.3457,0.3178,0.3481
0.3194,0.3228,0.2664,0.3497
0.3214,0.3119,0.2437,0.35
0.35,0.3043,0.2689,0.35
0.35,0.3332,0.2907,0.35
0.35,0.3459,0.3481,0.35
0.3457,0.3178,0.32,0.35
0.3228,0.2664,0.3131,0.3447
0.3119,0.2437,0.3404,0.3406
0.3043,0.2689,0.3388,0.3311
0.3332,0.2907,0.3481,0.35
0.3459,0.3481,0.3363,0.35
0.3178,0.32,0.3481,0.3163
0.2664,0.3131,0.3497,0.2878
0.2437,0.3404,0.35,0.2955
0.2689,0.3388,0.35,0.3032
0.2907,0.3481,0.35,0.3109
0.3481,0.3363,0.35,0.2933
0.32,0.3481,0.35,0.3023
0.3131,0.3497,0.3447,0.3013
0.3404,0.35,0.3406,0.3135
0.3388,0.35,0.3311,0.35
0.3481,0.35,0.35,0.35
0.3363,0.35,0.35,0.35
