Model,Overall,Price,Carbon,Grid
example,1.9000130316025483,1.2457726830747289,1.2303084302585574,3.2239579814743577
linear_L168_T48,0.9111433648307421,0.9274583265325437,0.9226761563746674,0.8832956115850152

