Model,P,C,L5,L11,L14,L16,L24,L29,S5,S11,S14,S16,S24,S29
example,0.334324470794046,0.1773114291536542,1.4428813567170427,1.2011506946540595,2.1355317935748848,1.792388356598744,1.6771673816457002,1.2565127554283888,1.3282614725397714,1.031761457398472,1.0541757990499898,1.1793329472748584,5.390915843040125,1.5558759048861877
linear_L168_T48,0.046288394030938346,0.03445479418868634,0.14163483663927615,0.08928341045768762,0.13911464041233917,0.22920749182331276,0.23941932905218094,0.08929747176496723,0.8364563579228868,0.9657557680375924,0.9468472590544744,0.8875412328555478,0.5955379983097441,0.779247937444899
H256_L168_T48,0.055053939051372805,0.034703536094874685,0.11263014996062692,0.08408751936989912,0.12240880249511074,0.21222574758479504,0.22094606182027038,0.08028283969536214,0.8318864173648141,0.9567895695337104,0.9423595434709241,0.8826761920440473,0.5732728131657664,0.7791850338376735
