Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
6,24,6,1,,,,145.3,0,0,0,0.0
7,1,7,1,,,,142.0,0,0,0,0.0
7,2,7,1,,,,138.8,0,0,0,0.0
7,3,7,1,,,,134.0,0,0,0,0.0
7,4,7,1,,,,134.5,0,0,0,41.0
7,5,7,1,,,,134.7,0,0,0,136.0
7,6,7,1,,,,135.7,0,0,0,273.0
7,7,7,1,,,,133.7,0,0,0,415.0
7,8,7,1,,,,133.2,0,0,0,495.0
7,9,7,1,,,,143.7,0,0,0,620.0
7,10,7,1,,,,131.5,0,0,0,821.0
7,11,7,1,,,,128.2,0,0,0,847.0
7,12,7,1,,,,125.7,0,0,0,787.0
7,13,7,1,,,,128.1,0,0,0,602.0
7,14,7,1,,,,157.5,0,0,0,494.0
7,15,7,1,,,,173.4,0,0,0,524.0
7,16,7,1,,,,176.8,0,0,0,452.0
7,17,7,1,,,,176.1,0,0,0,401.0
7,18,7,1,,,,180.6,0,0,0,169.0
7,19,7,1,,,,181.2,0,0,0,20.0
7,20,7,1,,,,183.6,0,0,0,0.0
7,21,7,1,,,,130.1,0,0,0,0.0
7,22,7,1,,,,112.9,0,0,0,0.0
7,23,7,1,,,,122.0,0,0,0,0.0
7,24,7,1,,,,112.7,0,0,0,0.0
7,1,1,1,,,,120.7,0,0,0,0.0
7,2,1,1,,,,118.1,0,0,0,0.0
7,3,1,1,,,,111.6,0,0,0,0.0
7,4,1,1,,,,107.2,0,0,0,120.0
7,5,1,1,,,,107.4,0,0,0,466.0
7,6,1,1,,,,135.3,0,0,0,718.0
7,7,1,1,,,,139.0,0,0,0,842.0
7,8,1,1,,,,141.2,0,0,0,880.0
7,9,1,1,,,,157.5,0,0,0,891.0
7,10,1,1,,,,167.0,0,0,0,898.0
7,11,1,1,,,,165.1,0,0,0,896.0
7,12,1,1,,,,134.7,0,0,0,887.0
7,13,1,1,,,,138.5,0,0,0,877.0
7,14,1,1,,,,151.7,0,0,0,858.0
7,15,1,1,,,,150.2,0,0,0,828.0
7,16,1,1,,,,141.9,0,0,0,777.0
7,17,1,1,,,,147.5,0,0,0,684.0
7,18,1,1,,,,135.9,0,0,0,486.0
7,19,1,1,,,,131.8,0,0,0,171.0
7,20,1,1,,,,134.3,0,0,0,0.0
7,21,1,1,,,,127.2,0,0,0,0.0
7,22,1,1,,,,115.2,0,0,0,0.0
7,23,1,1,,,,114.3,0,0,0,0.0
7,24,1,1,,,,118.8,0,0,0,0.0
7,1,2,1,,,,116.5,0,0,0,0.0
7,2,2,1,,,,114.6,0,0,0,0.0
7,3,2,1,,,,108.0,0,0,0,0.0
7,4,2,1,,,,138.2,0,0,0,178.0
7,5,2,1,,,,148.5,0,0,0,337.0
7,6,2,1,,,,154.3,0,0,0,328.0
7,7,2,1,,,,173.5,0,0,0,546.0
7,8,2,1,,,,193.9,0,0,0,629.0
7,9,2,1,,,,211.6,0,0,0,729.0
7,10,2,1,,,,223.0,0,0,0,698.0
7,11,2,1,,,,230.4,0,0,0,661.0
7,12,2,1,,,,236.8,0,0,0,605.0
7,13,2,1,,,,241.4,0,0,0,560.0
7,14,2,1,,,,236.2,0,0,0,583.0
7,15,2,1,,,,222.8,0,0,0,524.0
7,16,2,1,,,,203.0,0,0,0,481.0
7,17,2,1,,,,163.7,0,0,0,285.0
7,18,2,1,,,,123.4,0,0,0,68.0
7,19,2,1,,,,109.8,0,0,0,25.0
7,20,2,1,,,,103.3,0,0,0,0.0
7,21,2,1,,,,95.9,0,0,0,0.0
7,22,2,1,,,,89.8,0,0,0,0.0
7,23,2,1,,,,97.8,0,0,0,0.0
7,24,2,1,,,,99.2,0,0,0,0.0
7,1,3,1,,,,99.8,0,0,0,0.0
7,2,3,1,,,,97.8,0,0,0,0.0
7,3,3,1,,,,92.8,0,0,0,0.0
7,4,3,1,,,,105.8,0,0,0,31.0
7,5,3,1,,,,123.5,0,0,0,72.0
7,6,3,1,,,,123.0,0,0,0,108.0
7,7,3,1,,,,144.5,0,0,0,174.0
7,8,3,1,,,,175.7,0,0,0,298.0
7,9,3,1,,,,208.5,0,0,0,474.0
