Electricity Pricing [£/kWh],6h Prediction Electricity Pricing [£/kWh],12h Prediction Electricity Pricing [£/kWh],24h Prediction Electricity Pricing [£/kWh]
0.35,0.2029,0.1731,0.35
0.35,0.1818,0.1875,0.35
0.2515,0.1762,0.2128,0.2723
0.2088,0.1721,0.2132,0.2547
0.2093,0.1677,0.2244,0.2301
0.2051,0.1676,0.2052,0.204
0.2029,0.1731,0.2082,0.2073
0.1818,0.1875,0.2085,0.1742
0.1762,0.2128,0.1831,0.1657
0.1721,0.2132,0.1765,0.1605
0.1677,0.2244,0.1816,0.1572
0.1676,0.2052,0.3491,0.1595
0.1731,0.2082,0.35,0.172
0.1875,0.2085,0.35,0.1821
0.2128,0.1831,0.2723,0.2226
0.2132,0.1765,0.2547,0.2375
0.2244,0.1816,0.2301,0.247
0.2052,0.3491,0.204,0.2381
0.2082,0.35,0.2073,0.2227
0.2085,0.35,0.1742,0.2324
0.1831,0.2723,0.1657,0.1957
0.1765,0.2547,0.1605,0.1731
0.1816,0.2301,0.1572,0.1826
0.3491,0.204,0.1595,0.3403
0.35,0.2073,0.172,0.35
0.35,0.1742,0.1821,0.35
0.2723,0.1657,0.2226,0.2477
0.2547,0.1605,0.2375,0.2294
0.2301,0.1572,0.247,0.2171
0.204,0.1595,0.2381,0.1896
0.2073,0.172,0.2227,0.2161
0.1742,0.1821,0.2324,0.2029
0.1657,0.2226,0.1957,0.197
0.1605,0.2375,0.1731,0.1913
0.1572,0.247,0.1826,0.1796
0.1595,0.2381,0.3403,0.1775
0.172,0.2227,0.35,0.1777
0.1821,0.2324,0.35,0.179
0.2226,0.1957,0.2477,0.194
0.2375,0.1731,0.2294,0.2032
0.247,0.1826,0.2171,0.2602
0.2381,0.3403,0.1896,0.2716
0.2227,0.35,0.2161,0.2733
0.2324,0.35,0.2029,0.2631
0.1957,0.2477,0.197,0.1998
0.1731,0.2294,0.1913,0.1803
0.1826,0.2171,0.1796,0.1765
0.3403,0.1896,0.1775,0.3314
0.35,0.2161,0.1777,0.35
0.35,0.2029,0.179,0.35
0.2477,0.197,0.194,0.2634
0.2294,0.1913,0.2032,0.2342
0.2171,0.1796,0.2602,0.211
